dummy,ll1,ll2,ll3,ll4,ll5,ll6,ll7,ll8,ll9,ll10,ll11,ll12,ll13,ll14
tt157,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24
tt158,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24
tt159,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24
tt160,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24
tt161,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24
tt162,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24,50.24
tt163,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25
tt164,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25
tt165,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25
tt166,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25
tt167,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25
tt168,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25
tt169,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25,50.25
tt170,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26
tt171,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26
tt172,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26
tt173,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26
tt174,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26
tt175,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26
tt176,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26,50.26
tt177,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27
tt178,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27
tt179,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27
tt180,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27
tt181,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27
tt182,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27,50.27
tt183,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28
tt184,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28
tt185,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28
tt186,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28
tt187,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28
tt188,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28
tt189,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28,50.28
tt190,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29
tt191,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29
tt192,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29
tt193,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29
tt194,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29
tt195,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29
tt196,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29,50.29
tt197,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3
tt198,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3
tt199,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3
tt200,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3
tt201,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3
tt202,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3,50.3
tt203,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31
tt204,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31
tt205,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31
tt206,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31
tt207,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31
tt208,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31
tt209,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31,50.31
tt210,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32
tt211,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32
tt212,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32
tt213,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32
tt214,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32
tt215,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32,50.32
tt216,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33
tt217,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33
tt218,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33
tt219,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33
tt220,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33
tt221,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33
tt222,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33,50.33
tt223,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34
tt224,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34
tt225,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34
tt226,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34
tt227,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34
tt228,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34
tt229,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34,50.34
tt230,50.35,50.35,50.35,50.35,50.35,50.35,50.35,50.35,50.35,50.35,50.35,50.35,50.35,50.35
